Normalized Name,Variations
A Sweet Affair Bakery,A SWEET AFFAIR BAKERY CAF
Alivecor,SP ALIVECOR
Amazon,Amazon.com*RI4R06KY1,Amazon.com*RI9AO8OB1
Andoil,ANDOIL
Andronicos,ANDRONICOS #2452
Apple Subscription,APPLE.COM/BILL
Automatic Payment - Thank,AUTOMATIC PAYMENT - THANK
Barnes & Noble,BARNES &amp; NOBLE #3322,BARNES &amp; NOBLE #3415
Bitwarden,BITWARDEN
Bowl'D Acai,SQ *BOWL'D ACAI
Cafe Teatro,SQ *CAFE TEATRO
California DMV,FD *CA DMV VFC,FD *CA DMV VFC *SVC
Chick-fil-A,TST* CHICK-FIL-A
Chipotle,CHIPOTLE 1590
Cholita Linda,TST* CHOLITA LINDA - WALN
Costco,WWW COSTCO COM,COSTCO WHSE #0021,COSTCO WHSE #0663
Costco Gas,COSTCO GAS #0021
Diablo Foods,DIABLO FOODS
Diablo Valley Pest,DIABLO VALLEY PEST
Disney Plus,Disney Plus
Douglas Rotunda Garage,DOUGLAS ROTUNDA GARAGE
East Bay Bakery,SQ *EAST BAY BAKERY
Fastrak,FASTRAK CSC
Five Little Monkeys,FIVE LITTLE MONKEYS - LAF
Fuji Sushi Buffet,FUJI SUSHI BUFFET - CONC
Girl Scouts of the United States,GIRL SCOUTS OF THE UNITED,PAYPAL *GIRLSCOUTSU
Great Clips,5230 GREAT CLIPS AT ORIND
Great Wolf Lodge,GREAT WOLF LDG MANTECA
Habit Grill,HABIT SAN RAMON #74
Happy Tooth,SP HAPPY TOOTH
Home Depot,PAYPAL *HOME DEPOT,THE HOME DEPOT 6604
Jamba Juice,TST* JAMBA JUICE - 155 -
Lakeshore Learning,15 LAKESHORE LEARNING
Laz Parking L18106,LAZ PARKING L18106
Legoland California,Legoland California
Mcdonalds,MCDONALD'S F15279
Meadow Swim,PAYPAL *MEADOWSWIM
Monoprice,PAYPAL *MONOPRICE
Mountain Mikes Pizza,MOUNTAIN MIKES PIZZA
Netflix,NETFLIX.COM
Noah's Bagels,NOAH'S BAGELS #2117
Nordstrom,NORDSTROM #0421
Offer:great Wolf Lodge,Offer:Great Wolf Lodge
Papillon Quality Gourmet Coffee,SQ *PAPILLON GOURMET COFF
Pressed Juicery,PRESSED JUICERY - CONCORD
Qtea,QTEA
Rancho Gordo,"RANCHO GORDO, INC.",SP RANCHO GORDO
Redemption Credit,REDEMPTION CREDIT
Redwood Valley Steam Train,REDWOOD VLY STEAM TRAIN
Roam Artisan Burgers,TST* ROAM ARTISAN BURGERS
Safeway,SAFEWAY #0967
San Tung Restaurant,SAN TUNG RESTAURANT LLC
Sauced BBQ & Spirits,TST* SAUCED BBQ &amp; SPIRITS
See's Candy,SEES CANDY 0584
Shabuya,TST* SHABUYA - CONCORD
Shell Oil,SHELL OIL 57444479901
Southwest,SOUTHWES    5260266624679
Speedway,SPEEDWAY 6181
Sunrise Bistro,SUNRISE BISTRO
Szechuan Restaurant,SZECHUAN RESTAURANT
T-mobile,T-MOBILE WEB PAYMENT,TMOBILE*AUTO PAY
Target,TARGET.COM  *
The Fourth Bore Tap Room,THE FOURTH BORE TAP ROOM
The Masonic,82674 - NOB HILL MASONIC
The Woobles,SP THE WOOBLES
Tilden Merry Go Round,TILDEN MERRY GO ROUND
USPS,USPS PO 0556940345
Yogurt Shack,SQ *YOGURT SHACK
Zotero,ZOTERO.ORG
